AoI_case1,AoI_case2,AoI_case3,AoI_case4
[0.46849254],[0.45488785],[0.44783361],[0.44702362]
[0.48244727],[0.47231204],[0.44633212],[0.44893733]
[0.49101198],[0.46609313],[0.4622573],[0.4670733]
[0.48373249],[0.47995993],[0.47529189],[0.47983975]
[0.4915427],[0.48727024],[0.48535051],[0.49001956]
[0.49594368],[0.49351708],[0.49199668],[0.49539229]
[0.49826724],[0.49708349],[0.49608975],[0.49829734]
[0.49929961],[0.49661622],[0.49630237],[0.49868089]
[0.49974992],[0.49943204],[0.49845205],[0.49959067]
