Goodput_case1,Goodput_case2,Goodput_case3,Goodput_case4
[111278.],[159133.2],[183917.6],[190351.2]
[93962.4],[144513.6],[285831.6],[270860.4]
[63548.],[241853.6],[270112.8],[234342.4]
[142348.],[177406.],[220120.],[178752.]
[88752.],[136112.4],[157538.4],[106650.]
[49711.2],[80010.],[99537.2],[58352.]
[24664.],[41590.4],[54766.4],[24598.4]
[11089.8],[54788.4],[59169.6],[21441.6]
[4612.],[10114.],[28242.],[6840.]
